wave,Id,Owns Property,Weekly Gross Income,FY disposable income +,FY disposable income -
6,60431,1,0,13989,0
10,61491,1,0,16424,0
14,148501,1,445,25972,0
18,147471,1,450,34529,0
6,60431,1,340,31371,0
10,61491,1,1165,66419,0
14,148501,1,1250,59419,0
18,147471,1,1366,50268,0
6,24291,1,0,12220,0
10,21431,1,0,14040,0
14,127171,1,0,14560,0
18,126471,1,0,16380,0
6,24291,1,0,410,0
10,21431,1,0,14040,0
14,127171,1,0,16500,0
18,126471,1,0,19500,0
6,72751,1,556,24918,0
10,75491,1,600,26179,0
14,204321,1,650,31099,0
18,200901,1,0,71,0
6,72751,1,1300,33466,0
10,75491,1,1500,17795,0
14,203841,1,1400,58443,0
18,203611,1,0,195537,0
6,66721,1,391,30482,0
10,71221,1,0,33855,0
14,153821,1,0,10000,0
18,153161,1,863,68994,0
6,6431,1,0,32469,0
10,7281,1,0,65174,0
14,114731,1,0,43046,0
18,114411,1,0,38572,0
6,44851,1,1000,52085,0
10,45331,1,1490,62813,0
14,196561,1,1880,80971,0
18,196501,1,2072,69129,0
6,71341,1,0,212002,0
10,73891,1,0,13125,0
14,202311,1,0,16278,0
18,201951,1,0,17168,0
6,71341,1,0,26208,0
10,73891,1,0,47520,0
14,202311,1,0,24464,0
18,201951,1,0,53766,0
6,12031,1,0,14502,0
10,13091,1,0,12255,0
14,119791,1,0,16293,0
18,119231,1,0,16908,0
6,12031,1,0,8677,0
10,13091,1,0,10725,0
14,119791,1,0,13321,0
18,119231,1,0,16908,0
6,67261,1,0,26087,0
10,69071,1,0,23591,0
14,155331,1,0,28199,0
18,154811,1,0,0,0
6,67261,0,750,36487,0
10,69071,1,1500,51663,0
14,155331,1,1500,82031,0
18,154811,1,1600,66975,0
6,10641,1,1841,65550,0
10,12331,1,1900,70726,0
14,119021,1,1464,64516,0
18,118411,1,2110,90930,0
6,30111,1,0,67430,0
10,26921,1,0,23030,0
14,175061,1,0,4476,0
18,175151,1,0,41093,0
6,34951,1,750,30724,0
10,32301,1,0,14178,0
14,170151,1,0,18706,0
18,170221,1,0,19754,0
6,54721,0,900,34389,0
10,55361,0,886,41556,0
14,143011,1,1080,41936,0
18,142961,1,1028,49911,0
6,14011,1,0,12988,0
10,15271,1,0,17410,0
14,121591,1,0,20160,0
18,121131,1,0,23548,0
6,44011,0,1055,34415,0
10,37481,0,0,24856,0
14,119711,0,2400,41899,0
18,119141,0,5683,104803,0
6,44011,0,0,11013,0
10,37481,0,0,16281,0
14,119711,0,0,14756,0
18,119141,1,0,98647,0
6,29041,1,0,27698,0
10,36261,1,0,30155,0
14,124331,1,0,47352,0
18,123721,1,0,50222,0
6,29041,1,0,34000,0
10,36261,1,500,31760,0
14,124331,1,1023,115077,0
18,123721,1,0,50301,0
6,9351,1,3260,101417,0
10,10351,1,3626,134482,0
14,117201,1,3893,195144,0
18,116761,1,4250,150416,0
6,9351,1,1800,136788,0
10,10351,1,0,27978,0
14,117201,1,1841,73068,0
18,116761,1,1542,64442,0
6,54361,1,1188,49206,0
10,54951,1,1400,56838,0
14,142491,1,0,120403,0
18,142391,1,1000,48441,0
6,54361,1,740,30264,0
10,54951,1,1100,51856,0
14,142491,1,1100,82696,0
18,142391,1,970,51669,0
6,2941,1,0,58658,0
10,3861,1,1850,73732,0
14,112261,1,2040,78113,0
18,111991,1,2250,107701,0
6,2951,0,1300,53648,0
10,4731,0,1484,60251,0
14,112391,1,1806,71976,0
18,112071,1,2537,84645,0
6,55561,1,0,1051,0
10,56291,1,0,18600,0
14,144071,1,0,25009,0
18,143951,1,0,21500,0
6,55561,1,0,30653,0
10,56291,1,0,28800,0
14,144071,1,0,28814,0
18,143951,1,0,29500,0
6,64801,1,700,44290,0
10,66491,1,675,35179,0
14,153201,1,850,44577,0
18,152541,1,1150,49564,0
6,10821,1,925,40678,0
10,11811,1,0,54194,0
14,118561,1,959,52607,0
18,118011,1,1036,3525,0
6,3411,1,1466,56618,0
10,4211,1,1801,68154,0
14,112141,1,2009,65979,0
18,111781,1,0,54000,0
6,61221,1,2225,79698,0
10,62301,1,2650,256266,0
14,149251,1,2532,102031,0
18,148781,1,2716,103663,0
6,11701,1,718,36731,0
10,12801,1,920,40618,0
14,119481,1,724,389633,0
18,118951,1,0,94224,0
6,73761,1,0,17215,0
10,77361,1,269,51931,0
14,205381,1,748,21250,0
18,201861,1,0,27040,0
6,11031,1,0,6920,0
10,12001,1,0,7910,0
14,118741,1,0,3410,0
18,118151,1,0,7050,0
6,62461,1,650,29872,0
10,63501,1,686,43160,0
14,148361,1,1200,62720,0
18,157171,1,1500,83407,0
6,30611,1,1020,56310,0
10,27451,1,1750,79431,0
14,173601,1,2500,95734,0
18,173641,1,1950,96556,0
6,44111,1,3315,42881,0
10,49471,1,2000,71483,0
14,197241,1,1500,111134,0
18,197121,1,0,63468,0
6,53361,1,690,22996,0
10,55131,1,769,34186,0
14,142761,1,0,32800,0
18,142651,1,450,24533,0
6,53361,0,274,8449,0
10,66381,0,750,35297,0
14,153151,0,850,41770,0
18,142661,1,750,32296,0
6,18651,1,980,4265,0
10,20681,1,0,72040,0
14,126481,1,0,62756,0
18,131051,1,0,74692,0
6,18651,1,0,5890,0
10,20681,1,0,20788,0
14,126481,1,0,14090,0
18,131051,1,0,9692,0
6,7061,1,1400,46903,0
10,7891,1,2831,84397,0
14,115212,1,2206,104353,0
18,117151,1,1669,8000,0
6,16721,1,0,20483,0
10,18531,1,0,21586,0
14,124521,1,0,30413,0
18,123921,1,0,27333,0
6,20041,1,0,25263,0
10,22321,1,368,54739,0
14,128021,1,0,55842,0
18,127381,1,0,63570,0
6,29621,0,368,32064,0
10,26281,0,690,42179,0
14,172671,1,138,34322,0
18,172951,1,0,33376,0
6,67671,1,1050,43023,0
10,69491,1,2000,3405,0
14,155721,1,2000,78113,0
18,155231,1,1538,62150,0
6,67671,1,1050,43023,0
10,69491,1,2000,78509,0
14,155721,1,2000,100028,0
18,155231,1,1538,66847,0
6,69361,1,1600,61395,0
10,72031,1,944,46891,0
14,200611,1,1800,51379,0
18,200511,1,0,51217,0
6,69361,1,320,19356,0
10,72031,1,680,26747,0
14,200611,1,391,28062,0
18,200521,1,0,12900,0
6,29561,1,640,27141,0
10,26241,1,0,25196,0
14,174101,1,0,44978,0
18,174041,1,1445,58758,0
6,50771,1,2476,105356,0
10,51061,1,3050,129694,0
14,152651,1,5229,228538,0
18,151991,1,0,103720,0
6,50771,1,384,22412,0
10,51061,1,500,21255,0
14,152651,1,535,42091,0
18,151991,1,535,64798,0
6,50771,0,969,31623,0
10,51161,1,1250,77787,0
14,211161,1,2340,67248,0
18,212141,1,2294,76670,0
6,58611,1,2000,81152,0
10,59451,1,1617,107051,0
14,146641,1,1902,139025,0
18,146281,1,3429,84224,0
6,58611,1,0,4243,0
10,59451,1,0,3820,0
14,146641,1,0,5640,0
18,146281,1,0,200,0
6,37771,1,811,34308,0
10,35281,1,954,41642,0
14,180451,1,1053,42859,0
